Star Wars: Episode V - The Empire Strikes Back,1980,8
Star Wars: Episode III - Revenge of the Sith,2005,8
Ocean's Eleven,2001,7
Gone Girl,2014,8
Watchmen,2009,7
Star Wars: Episode VI - Return of the Jedi,1983,9
Home Alone,1990,8
Groundhog Day,1993,8
The Terminal,2004,8
Il bisbetico domato,1980,7
Back to the Future Part II,1989,7
The Revenant,2015,9
The Grand Budapest Hotel,2014,9
Scarface,1983,7
Whiplash,2013,7
Intouchables,2011,7
Into the Wild,2007,7
The Thing,1982,6
This Means War,2012,7
Collateral,2004,7
The Fifth Estate,2013,
The Social Network,2010,7
A Beautiful Mind,2001,9
Dexter,2006 – 2013,8
Who Am I - Kein System ist sicher,2014,
Mr. Robot,2015 – 2019,
You're Next,2013,
Jumanji,1995,
The Last Man on Earth,2015 – 2018,
Natural Born Killers,1994,
Brimstone,2016,6
Sushi Girl,2012,6
Bridge to Terabithia,2006,
Fargo,2014 – 2020,9
Scouts Guide to the Zombie Apocalypse,2015,
The Thirteenth Floor,1999,8
Domino,2005,
Pandorum,2009,8
Over the Garden Wall,2014,8
Ant-Man,2015,6
The Lovely Bones,2009,8
Braindead,1992,6
American Beauty,1999,10
Jaws,1975,
Alien,1979,7
Knowing,2009,
Small Soldiers,1998,
The Abyss,1989,8
Arrival,2016,7
Contact,1997,
Prometheus,2012,8
Armageddon,1998,
The Martian,2015,7
Oblivion,2013,7
Cube,1997,
The Faculty,1998,
Gravity,2013,
In Time,2011,6
The Hunger Games,2012,5
Sunshine,2007,8
Children of Men,2006,8
Dawn of the Dead,2004,
The Adjustment Bureau,2011,
Minority Report,2002,
"I, Robot",2004,
I Am Legend,2007,
The Avengers,2012,
Iron Man,2008,
Mr. Nobody,2009,9
Star Trek Beyond,2016,7
Star Trek Into Darkness,2013,7
11.22.63,2016,9
Confessions of a Dangerous Mind,2002,8
"O Brother, Where Art Thou?",2000,6
Control,2007,6
Shoot 'Em Up,2007,
Busanhaeng,2016,7
"You, Me and the Apocalypse",2015,9
The Imaginarium of Doctor Parnassus,2009,7
Zootopia,2016,8
Thank You for Smoking,2005,7
Blue Velvet,1986,6
Hell or High Water,2016,7
The Machinist,2003,8
Out of the Furnace,2013,6
The Fountain,2006,8
Nerve,2016,7
No Country for Old Men,2007,9
The Big Lebowski,1998,8
The Ladykillers,2004,7
Barton Fink,1991,8
Burn After Reading,2008,7
Lucky Number Slevin,2005,7
2001: A Space Odyssey,1968,8
Swiss Army Man,2016,10
Clerks.,1994,8
The Imitation Game,2014,7
Se7en,1995,9
The Silence of the Lambs,1990,8
Léon,1994,8
Blade Runner,1982,8
Grindhouse,2007,8
Primal Fear,1996,9
Greek,2007 – 2011,7
Trance,2013,8
Joy Ride,2001,7
Alpha Dog,2005,8
Sausage Party,2016,6
The Da Vinci Code,2006,
The Boat That Rocked,2009,
Orphan,2009,
Mysterious Skin,2004,5
Adult World,2013,7
Vinyl,2016,8
New Kids Turbo,2010,6
Mean Machine,2001,
Bronson,2008,7
Suicide Squad,2016,7
Super 8,2011,
Star Trek,2009,6
I Love You Phillip Morris,2008,7
Vi är bäst!,2013,6
Red State,2011,8
The Last Samurai,2003,6
Memento,2000,7
10 Cloverfield Lane,2016,
It's Kind of a Funny Story,2010,8
Independence Day,1996,6
Ruby Sparks,2012,8
The Sopranos,1999 – 2007,
In Bruges,2007,8
The Lobster,2015,8
Now You See Me,2013,6
Frank,2013,7
Before I Wake,2014,3
Silicon Valley,2014 – 2019,10
Thelma & Louise,1991,
Dallas Buyers Club,2013,8
Dobermann,1997,8
The Hateful Eight,2015,9
Black Mass,2015,6
One Punch Man,2015 – 2019,10
American Ultra,2015,7
Fargo,1995,9
Wicker Park,2004,7
The Family,2013,7
Deadpool,2016,5
The Wolf of Wall Street,2013,8
Chapter 27,2006,6
The Bank Job,2008,7
Pride and Prejudice and Zombies,2015,7
3 Idiots,2009,7
"Harvey Birdman, Attorney at Law",2000 – 2007,9
A Lot Like Love,2005,7
(500) Days of Summer,2009,9
Ten Inch Hero,2006,7
Juno,2007,7
Le Fabuleux destin d'Amélie Poulain,2001,9
Full Metal Jacket,1987,9
10 Things I Hate About You,1999,9
Sin City,2005,8
Narcos,2015 – 2017,
Being John Malkovich,1999,8
American Psycho,2000,8
Dead Man,1995,
The Curious Case of Benjamin Button,2008,9
Requiem for a Dream,2000,9
Eternal Sunshine of the Spotless Mind,2004,9
Reservoir Dogs,1991,10
Mankind: The Story of All of Us,2012,10
V for Vendetta,2006,
The Judge,2014,
Trainspotting,1995,9
Interstate 60,2001,8
L.A. Confidential,1997,7
District 9,2009,8
RocknRolla,2008,10
London Boulevard,2010,8
Smokin' Aces,2007,8
Seven Psychopaths,2012,8
Revolver,2005,10
The Butterfly Effect,2003,9
Falling Down,1992,8
50/50,2011,7
Blow,2001,8
Gladiator,2000,8
The Prestige,2006,8
Pulp Fiction,1994,10
Knockin' on Heaven's Door,1997,9
Interstellar,2014,8
Fight Club,1999,9
Inception,2010,7
Forrest Gump,1994,9
The Green Mile,1999,8
The Shawshank Redemption,1994,
God Bless America,2011,9
Machete,2010,9
K-PAX,2001,9
The Devil's Advocate,1997,7
The Usual Suspects,1995,10
Scott Pilgrim vs. the World,2010,9
Moon,2009,9
Mad Max: Fury Road,2015,10
Snatch,2000,9
The Departed,2006,10
"Lock, Stock and Two Smoking Barrels",1998,9
Enemy,2013,6
Birdman or (The Unexpected Virtue of Ignorance),2014,6
The Interview,2014,7
